Job Title,Job Salary,Job Experience Required,Skills,Role,Location
Medical Representative," 2,00,000 - 5,00,000 PA. ",0,"Pharmaceutical Sales, Product Promotion, Client Relationship, Territory Management",Medical Representative,Delhi
Hindi Call Center ( CCE ) Bpo," 1,25,000 - 3,75,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",Telecalling,Delhi
Telecalling Executive," 1,75,000 - 2,25,000 PA. ",1,"Outbound Calling, Communication, Sales Pitching, Lead Generation",Telemarketing Executive,Delhi
Relationship Manager," 2,00,000 - 4,50,000 PA. ",1,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",,Jaipur
Manager,,Not mentioned,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",,Gurgaon
Sales," 2,00,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",,Bengaluru
Regional Sales Manager," 1,75,000 - 3,25,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Hyderabad
Recruitment Specialist," 1,00,000 - 4,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Hyderabad
Team Leader," 3,00,000 - 4,50,000 PA. ",3,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader-Quality Assurance / Quality Control,Delhi
Software Engineer," 4,00,000 - 9,00,000 PA. ",2,"Programming, Software Development, Debugging, SDLC",Software Developer,Bengaluru
Java Full Stack Developer," 6,00,000 - 16,00,000 PA. ",6,"Java, Spring Boot, React, REST APIs, SQL, Microservices, Full Stack Development",Software Developer,Bengaluru
Assistant Manager," 4,00,000 - 6,00,000 PA. ",5,"Team Coordination, Process Management, Reporting, Operations Support",Accounts Manager,Noida
Software Developer," 4,00,000 - 6,00,000 PA. ",3,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Bengaluru
Deputy Manager," 3,50,000 - 8,00,000 PA. ",3,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Business Development Manager,Kolkata
Full Stack Developer," 3,00,000 - 7,00,000 PA. ",2,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Gurgaon
Hiring in E," 1,25,000 - 3,50,000 PA. ",0,"Admin Support, Coordination, Entry-Level Tasks",Fresher,Pune
Regional Sales Manager," 13,00,000 - 23,00,000 PA. ",10,"Communication, CRM, Negotiation, Lead Generation",Head / National Manager -Sales,Chennai
Customer Support," 2,50,000 - 3,50,000 PA. ",1,"Customer Interaction, Problem Solving, Communication Skills, CRM Tools, Ticketing Systems",,Delhi
HR Executive," 2,00,000 - 3,00,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Mumbai
Salesforce Developer," 6,00,000 - 14,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",,Delhi
Bpo," 1,50,000 - 3,75,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",,Bengaluru
IOS Developer," 1,75,000 - 3,25,000 PA. ",2,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Kolkata
Manager," 3,00,000 - 6,50,000 PA. ",5,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Accounts Manager,Pune
Sales Engineer," 1,75,000 - 2,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Pune
Senior Business Development Manager," 3,00,000 - 7,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Pune
Manager," 6,00,000 - 9,00,000 PA. ",6,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Sales / Business Development Manager,Bengaluru
Sales Head," 40,00,000 - 50,00,000 PA. ",12,"Communication, CRM, Negotiation, Lead Generation",Head / National Manager -Sales,Bengaluru
Front Office Executive," 1,25,000 - 2,75,000 PA. ",1,"Reception Handling, Visitor Management, Scheduling, Communication",,Pune
Sales Executive," 2,50,000 - 4,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Relationship Manager," 2,50,000 - 5,50,000 PA. ",1,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Business Development Manager,Mumbai
Business Development Manager," 2,50,000 - 5,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",BD Manager,Delhi
Unit Manager," 4,00,000 - 9,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Collections Manager,Pune
Business Development Executive," 1,75,000 - 6,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Manager," 6,00,000 - 9,50,000 PA. ",4,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Budgeting Manager,Gurgaon
Legal Manager," 12,00,000 - 18,00,000 PA. ",7,"Legal Compliance, Contract Drafting, Legal Research, Corporate Law",Legal Manager,Gurgaon
Sales Executive," 1,25,000 - 6,25,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Kolkata
Executive," 4,00,000 - 7,00,000 PA. ",1,"Communication, Coordination, Data Entry, Reporting, Office Administration",Back Office Executive,Mumbai
Senior Manager," 8,00,000 - 16,00,000 PA. ",5,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Business Development Manager,Mumbai
Sales Manager," 4,00,000 - 5,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Executive Assistant," 2,00,000 - 3,75,000 PA. ",2,"Scheduling, Calendar Management, Meeting Coordination, Communication, Travel Planning",,Mumbai
Urgent Hiring," 1,00,000 - 1,75,000 PA. ",0,"General Support, Coordination, Immediate Availability",,Noida
Dot Net Developer," 2,00,000 - 4,00,000 PA. ",1,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Pune
Full Stack Developer," 6,00,000 - 16,00,000 PA. ",5,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Bengaluru
Senior Developer," 10,00,000 - 18,00,000 PA. ",3,"Full Stack Development, System Design, Code Review, Agile Methodology",Software Developer,Mumbai
Territory Manager," 2,75,000 - 3,75,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Sales / Business Development Manager,Delhi
Business Development Executive," 1,25,000 - 3,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Pune
Bpo," 50,000 - 3,00,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",,Gurgaon
Business Development Executive," 1,50,000 - 2,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Hyderabad
Sales Coordinator," 2,75,000 - 3,25,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive / Officer,Delhi
Technical Support Engineer For Accenture Through Artech," 2,00,000 - 2,25,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(NonTechnical),Delhi
Full Stack Developer," 8,00,000 - 12,00,000 PA. ",3,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Bengaluru
Product Manager," 10,00,000 - 16,00,000 PA. ",5,"Product Strategy, Roadmap Planning, Market Research, Agile, Stakeholder Communication",,Gurgaon
BPO Call Center & CCE Jobs," 1,75,000 - 3,50,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",,Delhi
Key Accounts Manager," 3,00,000 - 5,50,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Wealth Manager,Delhi
Assistant Manager Sales & Marketing," 3,00,000 - 3,50,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Delhi
Cce," 50,000 - 3,00,000 PA. ",0,"Customer Service, CRM Tools, Problem Solving, Communication, Ticketing Systems",,Delhi
Big Data Developer," 4,00,000 - 7,00,000 PA. ",2,"Hadoop, Spark, Hive, Pig, ETL, Data Engineering",Software Developer,Bengaluru
Client Relationship Executive," 70,000 - 1,75,000 PA. ",0,"Client Support, Relationship Building, CRM, Communication",Client Servicing,Kolkata
Sr. Business Development Manager," 4,00,000 - 8,50,000 PA. ",4,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
IOS Developer," 2,00,000 - 4,00,000 PA. ",2,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Pune
Business Development Manager," 2,00,000 - 4,25,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Kolkata
Tele Marketing Executive," 1,25,000 - 3,00,000 PA. ",1,"Digital Marketing, SEO, Content Creation, Campaign Management",Telesales / Telemarketing Executive,Hyderabad
Content Manager," 6,00,000 - 9,00,000 PA. ",4,"Content Creation, SEO, CMS, Editorial Strategy",Content Developer,Mumbai
Recruitment Executive," 1,00,000 - 6,00,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Gurgaon
Software Engineer," 5,00,000 - 10,00,000 PA. ",3,"Programming, Software Development, Debugging, SDLC",Software Developer,Bengaluru
Manager," 5,00,000 - 7,50,000 PA. ",1,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Medical Officer,Hyderabad
Medical Coding Jobs," 2,50,000 - 4,00,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Network Engineer," 50,000 - 3,00,000 PA. ",1,"Network Configuration, Cisco, LAN/WAN, Firewall, Troubleshooting",Customer Support Engineer,Chennai
Business Development Executive," 2,50,000 - 5,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Urgent Hiring," 1,50,000 - 2,25,000 PA. ",0,"General Support, Coordination, Immediate Availability",,Delhi
Assistant Manager," 5,00,000 - 6,50,000 PA. ",4,"Team Coordination, Process Management, Reporting, Operations Support",,Gurgaon
MIS Executive," 2,00,000 - 3,00,000 PA. ",1,"Excel, Reporting, Data Analysis, MIS Tools",HR Executive,Bengaluru
Job Description," INR 8,00,000 - 12,00,000 PA.",3,"Job Analysis, Requirement Gathering, Recruitment Coordination",,Hyderabad
Sales Associate," 1,00,000 - 3,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Delhi
Business Development Executive," 2,25,000 - 4,25,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",,Ahmedabad
Test Engineer," 2,50,000 - 2,75,000 PA. ",1,"Manual Testing, Automation Testing, Selenium, Test Cases, Defect Reporting",Testing Engineer,Delhi
HR Recruiter," 2,00,000 - 3,00,000 PA. ",0,"Recruitment, Payroll, Employee Engagement, HR Policies",,Delhi
Finance Executive," 3,50,000 - 5,00,000 PA. ",3,"Financial Reporting, Taxation, Budgeting, Cost Analysis",Finance Executive,Bengaluru
Magento Developer," 1,75,000 - 4,50,000 PA. ",1,"Magento, PHP, MySQL, JavaScript, eCommerce Development, API Integration",Software Developer,Mumbai
Business Development Executive," 2,00,000 - 3,75,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Ahmedabad
HR Generalist," 2,25,000 - 6,00,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Hyderabad
Sales Manager," 7,00,000 - 7,50,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Territory Manager,Chandigarh
Urgent Opening," 6,00,000 - 12,00,000 PA. ",5,"Office Support, Admin Duties, Urgent Role Fulfillment",,Bengaluru
Urgent Opening," 1,50,000 - 2,50,000 PA. ",1,"Office Support, Admin Duties, Urgent Role Fulfillment",,Chennai
Sales Officer," 3,25,000 - 4,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive / Officer,Delhi
Software Developer," 9,00,000 - 12,00,000 PA. ",2,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Noida
Back Office," 50,000 - 3,00,000 PA. ",0,"Data Entry, File Management, Admin Support, MS Office",,Delhi
Engineer," 4,00,000 - 7,00,000 PA. ",2,"Technical Knowledge, Problem Solving, Engineering Design, Reporting",Testing Engineer,Hyderabad
City Manager with a Top Retail Brand," 10,00,000 - 13,00,000 PA. ",4,"Networking, System Administration, Security, Technical Support, Cloud Computing",Area / Territory Manager,Mumbai
Regional Product Manager," 8,00,000 - 18,00,000 PA. ",9,"Product Strategy, Market Research, Regional Sales Support, Product Launch",Regional Sales Manager,Ahmedabad
HR Executive (male)," 2,00,000 - 2,50,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Pune
Deputy Manager," 8,00,000 - 12,00,000 PA. ",7,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Design Engineer / Manager,Pune
Java Developer,"INR 3,00,000 - 5,50,000 PA.",3,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Pune
NRI Relationship Manager," 5,00,000 - 8,50,000 PA. ",3,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Business Development Manager,Mumbai
Assistant Manager Marketing," 3,00,000 - 4,00,000 PA. ",3,"Digital Marketing, SEO, Content Creation, Campaign Management",Assistant / Associate Marketing Manager,Mumbai
Commercial Manager," 8,00,000 - 12,00,000 PA. ",8,"Contract Negotiation, Budgeting, Cost Control, Vendor Management, Business Strategy",Commercial Manager,Chennai
Operations Manager," 9,00,000 - 12,00,000 PA. ",8,"Process Improvement, Team Leadership, Budget Management, Logistics, Vendor Management",Operations Manager,Mumbai
Big Data Engineer," 8,00,000 - 10,00,000 PA. ",6,"Hadoop, Spark, Hive, Data Lakes, ETL, Scala/Java",,Bengaluru
Java Full Stack Developer," 4,00,000 - 7,00,000 PA. ",2,"Java, Spring Boot, React, REST APIs, SQL, Microservices, Full Stack Development",Software Developer,Hyderabad
RF Planning Engineer," 2,00,000 - 4,00,000 PA. ",0,"RF Planning, Network Design, Signal Optimization, Telecom Standards",Testing Engineer,Mumbai
Assistant Manager," 14,00,000 - 15,00,000 PA. ",3,"Team Coordination, Process Management, Reporting, Operations Support",Finance / Budgeting Manager,Mumbai
Hiring For Recruitment Executive," 1,25,000 - 3,00,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Delhi
Business Analyst," 4,00,000 - 7,00,000 PA. ",4,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Mumbai
Customer Care Executive," 1,25,000 - 5,50,000 PA. ",0,"Customer Service, CRM Tools, Problem Solving, Communication, Ticketing Systems",,Gurgaon
Area Sales Manager," 6,50,000 - 11,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Bengaluru
MIS Executive," 1,50,000 - 2,00,000 PA. ",1,"Excel, Reporting, Data Analysis, MIS Tools",,Chennai
Sales Manager," 3,50,000 - 6,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Bhopal
Recruiter," 1,50,000 - 2,00,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Noida
Accounts Executive," 50,000 - 1,00,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Pune
Assistant Restaurant Manager," 3,00,000 - 3,50,000 PA. ",3,"Team Management, Customer Service, Inventory Control, Staff Training, Food Safety",Restaurant Manager,Delhi
Facility Executive," 1,75,000 - 2,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",,Hyderabad
Medical Representative," 1,50,000 - 2,50,000 PA. ",1,"Pharmaceutical Sales, Product Promotion, Client Relationship, Territory Management",,Delhi
Senior Software Engineer," 15,00,000 - 25,00,000 PA. ",4,"Programming, Software Development, Debugging, SDLC",Software Developer,Pune
Graphic Designer," 1,00,000 - 2,00,000 PA. ",0,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",,Noida
HR Generalist," 2,00,000 - 4,00,000 PA. ",0,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Mumbai
Back End Developer," 2,00,000 - 5,00,000 PA. ",1,"Node.js, Python, SQL, REST APIs, Server-Side Logic",Software Developer,Gurgaon
Marketing Assistant," 50,000 - 3,00,000 PA. ",2,"Digital Marketing, SEO, Content Creation, Campaign Management",Assistant / Associate Marketing Manager,Bengaluru
Business Development Manager," 12,00,000 - 20,00,000 PA. ",8,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
HR Recruiter," 3,00,000 - 5,00,000 PA. ",3,"Recruitment, Payroll, Employee Engagement, HR Policies",,Mumbai
Assistant Manager Sales & Marketing," 2,50,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Gurgaon
Assistant Manager," 3,00,000 - 4,50,000 PA. ",0,"Team Coordination, Process Management, Reporting, Operations Support",Sales / Business Development Manager,Mumbai
AM," 6,00,000 - 12,00,000 PA. ",6,"Team Coordination, Administrative Support, Reporting, Process Handling",Service Manager,Mumbai
Business Development Executive," 3,00,000 - 4,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Analyst,Chandigarh
Site Supervisor," 3,00,000 - 3,75,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",,Hyderabad
Opening For Part Time Home Based Internet Marketing," 3,50,000 - 7,50,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",,Bengaluru
Accountant," 1,50,000 - 3,75,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive / Accountant,Mumbai
Accountant," 3,00,000 - 7,00,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Bengaluru
Urgent Requirement," 4,00,000 - 9,00,000 PA. ",4,"Support Role, Admin, Coordination, Office Tasks",,Mumbai
Sales Executive," 2,00,000 - 3,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Guest Relations Executive,Bengaluru
Tele Marketing Executive," 1,50,000 - 2,00,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",Telesales / Telemarketing Executive / Officer,Delhi
Technical Recruiter," 1,50,000 - 3,50,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",,Delhi
Technical Support Executive," 2,25,000 - 4,50,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(NonTechnical),Bengaluru
Urgent Opening," 1,50,000 - 3,50,000 PA. ",1,"Office Support, Admin Duties, Urgent Role Fulfillment",,Mumbai
Sr. Executive," 6,00,000 - 8,50,000 PA. ",3,"Team Support, Reporting, Client Handling, Communication, Coordination",Product Development Executive,Mumbai
Customer Service Executive," 50,000 - 3,00,000 PA. ",0,"Customer Support, Call Handling, CRM, Issue Resolution",,Pune
UI UX Designer," 3,00,000 - 6,00,000 PA. ",3,"Figma, Adobe XD, Wireframing, Prototyping, Interaction Design",Web Designer,Hyderabad
Virtual Relationship Manager," 2,00,000 - 6,00,000 PA. ",2,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",,Mumbai
Hospitality Trainer," 3,00,000 - 5,50,000 PA. ",8,"Networking, System Administration, Security, Technical Support, Cloud Computing",Trainer,Delhi
Software Engineer," 3,00,000 - 8,00,000 PA. ",3,"Programming, Software Development, Debugging, SDLC",Software Developer,Hyderabad
Quality Analyst," 2,50,000 - 5,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Quality Assurance / Quality Control Executive,Noida
Sales Engineer," 1,25,000 - 3,50,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",,Delhi
Sales Engineer," 4,00,000 - 7,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Pune
Sales," 2,50,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales,Mumbai
Receptionist," 2,50,000 - 5,00,000 PA. ",5,"Front Desk Management, Communication, Scheduling, Visitor Handling, MS Office",,Delhi
Customer Care Executive," 1,00,000 - 1,50,000 PA. ",0,"Customer Service, CRM Tools, Problem Solving, Communication, Ticketing Systems",Telecalling / Telemarketing Executive,Gurgaon
Dot Net Developer," 3,00,000 - 6,50,000 PA. ",3,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Delhi
Area Sales Manager," 4,50,000 - 6,00,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Delhi
Software Engineer," 2,50,000 - 5,00,000 PA. ",2,"Programming, Software Development, Debugging, SDLC",Software Developer,Pune
Manager," 7,00,000 - 8,50,000 PA. ",5,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Accounts Manager,Ahmedabad
Asp.net MVC Developer," 1,00,000 - 5,00,000 PA. ",1,"ASP.NET MVC, C#, Razor, Entity Framework, SQL Server",Software Developer,Gurgaon
Area Business Manager," 4,00,000 - 5,50,000 PA. ",1,"Sales Strategy, Team Leadership, Market Expansion, Business Planning",Area Sales Manager,Pune
Technical Support Engineer," 2,50,000 - 5,00,000 PA. ",1,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(Technical),Bengaluru
Customer Care Executive," 1,50,000 - 3,50,000 PA. ",1,"Customer Service, CRM Tools, Problem Solving, Communication, Ticketing Systems",,Gurgaon
Quality Analyst," 2,50,000 - 3,25,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Quality Assurance / Quality Control Executive,Mumbai
Operations Manager," 4,25,000 - 5,50,000 PA. ",3,"Process Improvement, Team Leadership, Budget Management, Logistics, Vendor Management",Operations Manager,Chandigarh
Full Stack Developer," 6,50,000 - 16,50,000 PA. ",3,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Bengaluru
Senior Accounts Executive," 3,50,000 - 5,00,000 PA. ",5,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Delhi
Retail Operations Manager," 4,75,000 - 6,50,000 PA. ",8,"Process Improvement, Team Leadership, Budget Management, Logistics, Vendor Management",National Manager -Sales,Delhi
Product Manager," 12,00,000 - 14,00,000 PA. ",3,"Product Strategy, Roadmap Planning, Market Research, Agile, Stakeholder Communication",Product Manager,Mumbai
Sales Executive," 50,000 - 2,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Business Development Manager," 4,00,000 - 8,00,000 PA. ",4,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Branch Manager," 5,50,000 - 11,00,000 PA. ",2,"Branch Operations, Sales, Team Leadership, Compliance, Customer Relations",Branch Manager,Delhi
Job Description," INR 2,00,000 - 4,00,000 PA.",1,"Job Analysis, Requirement Gathering, Recruitment Coordination",,Kolkata
Regional Sales Manager," 9,00,000 - 10,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Bengaluru
Quality Engineer," 2,50,000 - 2,75,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",,Gurgaon
Business Development Executive," 1,00,000 - 3,50,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Manager," 3,25,000 - 6,00,000 PA. ",3,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Sales / Business Development Manager,Bengaluru
Sales Manager," 6,00,000 - 12,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Key Account Manager,Hyderabad
Administration Assistant," 1,75,000 - 3,00,000 PA. ",2,"Clerical Support, Filing, Scheduling, Office Coordination",Sr Executive - Administration,Pune
Job Description," INR 14,00,000 - 18,00,000 PA.",5,"Job Analysis, Requirement Gathering, Recruitment Coordination",,Hyderabad
Software Developer," 8,00,000 - 18,00,000 PA. ",1,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Gurgaon
Business Analyst," 6,00,000 - 12,00,000 PA. ",5,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Mumbai
Technical Sales Executive," 2,00,000 - 5,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Senior Associate -(Technical),Delhi
General Manager," 7,50,000 - 15,00,000 PA. ",5,"Strategic Operations, Team Leadership, Business Planning, Budget Management",Business Development Manager,Delhi
IT Recruiter," 50,000 - 3,00,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Delhi
General Manager Operations," 6,00,000 - 8,00,000 PA. ",10,"Strategic Operations, Process Improvement, Team Leadership, Budgeting",General Manager,Delhi
Hiring For Leading Bpos," 2,00,000 - 3,50,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",,Pune
Medical Coding Jobs," 2,50,000 - 5,00,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Area Sales Manager," 4,00,000 - 6,00,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Mumbai
Manager," 8,00,000 - 18,00,000 PA. ",4,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",,Mumbai
Great Opportunity," 2,50,000 - 3,50,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Sales / Business Development Manager,Delhi
UI UX Designer," 1,00,000 - 6,00,000 PA. ",3,"Figma, Adobe XD, Wireframing, Prototyping, Interaction Design",Web Designer,Bengaluru
Web Developer," 1,75,000 - 6,00,000 PA. ",1,"HTML, CSS, JavaScript, PHP, React, Responsive Design",,Delhi
Business Development Manager," 10,00,000 - 13,00,000 PA. ",8,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Job Description," INR 1,00,000 - 1,50,000 PA.",0,"Job Analysis, Requirement Gathering, Recruitment Coordination",,Hyderabad
Content Writer," 1,75,000 - 2,50,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",,Delhi
Marketing Manager," 3,00,000 - 8,00,000 PA. ",1,"Digital Marketing, SEO, Content Creation, Campaign Management",Marketing Manager,Mumbai
Full Stack Developer," 2,50,000 - 4,25,000 PA. ",2,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Noida
Manager Sales," 3,00,000 - 5,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Senior Associate," 10,00,000 - 20,00,000 PA. ",4,"Reporting, Documentation, Coordination, Client Interaction",,Bengaluru
Manager," 9,00,000 - 15,00,000 PA. ",3,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Finance / Budgeting Manager,Gurgaon
Marketing Analyst," INR 6,00,000 - 11,00,000 PA.",3,"Digital Marketing, SEO, Content Creation, Campaign Management",,Bengaluru
Account Assistant," 1,50,000 - 1,75,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive / Accountant,Bengaluru
Technical Support Engineer," 1,25,000 - 4,50,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(NonTechnical),Bengaluru
Sales Executive," 2,00,000 - 3,25,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive / Officer,Hyderabad
Technical Sales," 2,00,000 - 5,50,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Senior Associate -(Technical),Delhi
Senior .Net Developer," 50,000 - 3,00,000 PA. ",4,"C#, ASP.NET, MVC, SQL Server, Web API",Software Developer,Bengaluru
International Voice Process," 1,00,000 - 2,00,000 PA. ",0,"International Calling, Customer Support, Accent Communication, CRM Tools",,Chennai
